ts_id,date,total,duoarea,process
2,2024-01-31,4514.0,NUS,VDV
3,2014-01-31,662881.0,NUS,VEU
3,2014-02-28,551109.0,NUS,VEU
3,2014-03-31,560808.0,NUS,VEU
3,2014-04-30,548899.0,NUS,VEU
3,2014-05-31,646929.0,NUS,VEU
3,2014-06-30,720750.0,NUS,VEU
3,2014-07-31,843303.0,NUS,VEU
3,2014-08-31,897806.0,NUS,VEU
3,2014-09-30,770947.0,NUS,VEU
3,2014-10-31,703390.0,NUS,VEU
3,2014-11-30,600392.0,NUS,VEU
3,2014-12-31,638769.0,NUS,VEU
3,2015-01-31,711324.0,NUS,VEU
3,2015-02-28,648343.0,NUS,VEU
3,2015-03-31,708731.0,NUS,VEU
3,2015-04-30,664276.0,NUS,VEU
3,2015-05-31,734486.0,NUS,VEU
3,2015-06-30,886475.0,NUS,VEU
3,2015-07-31,1045542.0,NUS,VEU
3,2015-08-31,1026590.0,NUS,VEU
3,2015-09-30,895044.0,NUS,VEU
3,2015-10-31,791541.0,NUS,VEU
3,2015-11-30,732413.0,NUS,VEU
3,2015-12-31,768606.0,NUS,VEU
3,2016-01-31,773954.0,NUS,VEU
3,2016-02-29,689800.0,NUS,VEU
3,2016-03-31,744765.0,NUS,VEU
3,2016-04-30,718893.0,NUS,VEU
3,2016-05-31,804431.0,NUS,VEU
3,2016-06-30,970308.0,NUS,VEU
3,2016-07-31,1139968.0,NUS,VEU
3,2016-08-31,1151236.0,NUS,VEU
3,2016-09-30,915286.0,NUS,VEU
3,2016-10-31,743796.0,NUS,VEU
3,2016-11-30,662046.0,NUS,VEU
3,2016-12-31,670787.0,NUS,VEU
3,2017-01-31,659623.0,NUS,VEU
3,2017-02-28,568781.0,NUS,VEU
3,2017-03-31,672176.0,NUS,VEU
3,2017-04-30,627049.0,NUS,VEU
3,2017-05-31,700059.0,NUS,VEU
3,2017-06-30,851035.0,NUS,VEU
3,2017-07-31,1081826.0,NUS,VEU
3,2017-08-31,1022019.0,NUS,VEU
3,2017-09-30,859260.0,NUS,VEU
3,2017-10-31,772543.0,NUS,VEU
3,2017-11-30,666156.0,NUS,VEU
