ts_id,date,total,Sex,state_and_territory,hier_1
1,2015-06-30,13221.228561401367,Females,Australian Capital Territory,1A
1,2015-09-30,12851.550598144531,Females,Australian Capital Territory,1A
1,2015-12-31,12294.666687011719,Females,Australian Capital Territory,1A
1,2016-03-31,10485.327613830566,Females,Australian Capital Territory,1A
1,2016-06-30,11858.39697265625,Females,Australian Capital Territory,1A
1,2016-09-30,11650.75722438097,Females,Australian Capital Territory,1A
1,2016-12-31,13775.21708971262,Females,Australian Capital Territory,1A
1,2017-03-31,13141.633527517319,Females,Australian Capital Territory,1A
1,2017-06-30,12600.253450751305,Females,Australian Capital Territory,1A
1,2017-09-30,12104.049248576164,Females,Australian Capital Territory,1A
1,2017-12-31,14299.94018393755,Females,Australian Capital Territory,1A
1,2018-03-31,12553.555107474327,Females,Australian Capital Territory,1A
1,2018-06-30,12287.743733286858,Females,Australian Capital Territory,1A
1,2018-09-30,14849.384450793266,Females,Australian Capital Territory,1A
1,2018-12-31,12053.3926730752,Females,Australian Capital Territory,1A
1,2019-03-31,14153.295081675053,Females,Australian Capital Territory,1A
1,2019-06-30,13742.591395020485,Females,Australian Capital Territory,1A
1,2019-09-30,10053.49206507206,Females,Australian Capital Territory,1A
1,2019-12-31,10082.976463913918,Females,Australian Capital Territory,1A
1,2020-03-31,12617.580030977726,Females,Australian Capital Territory,1A
1,2020-06-30,12182.905010282993,Females,Australian Capital Territory,1A
1,2020-09-30,14389.874542295933,Females,Australian Capital Territory,1A
1,2020-12-31,13626.285459637642,Females,Australian Capital Territory,1A
1,2021-03-31,12495.14424264431,Females,Australian Capital Territory,1A
1,2021-06-30,10884.034693837166,Females,Australian Capital Territory,1A
1,2021-09-30,14963.626075409353,Females,Australian Capital Territory,1A
1,2021-12-31,16540.265449374914,Females,Australian Capital Territory,1A
1,2022-03-31,18049.115150414407,Females,Australian Capital Territory,1A
1,2022-06-30,17039.510766983032,Females,Australian Capital Territory,1A
1,2022-09-30,18870.014000833035,Females,Australian Capital Territory,1A
1,2022-12-31,15725.298739850521,Females,Australian Capital Territory,1A
1,2023-03-31,17806.61702001095,Females,Australian Capital Territory,1A
1,2023-06-30,15964.687130987644,Females,Australian Capital Territory,1A
1,2023-09-30,17680.395318984985,Females,Australian Capital Territory,1A
1,2023-12-31,16407.467931210995,Females,Australian Capital Territory,1A
1,2024-03-31,18273.637783408165,Females,Australian Capital Territory,1A
1,2024-06-30,19350.765737354755,Females,Australian Capital Territory,1A
1,2024-09-30,15516.27629095316,Females,Australian Capital Territory,1A
2,1986-09-30,11736.828203067183,Females,Australian Capital Territory,2A
2,1986-12-31,11857.689577013254,Females,Australian Capital Territory,2A
2,1987-03-31,11211.65781109035,Females,Australian Capital Territory,2A
2,1987-06-30,11055.45900440216,Females,Australian Capital Territory,2A
2,1987-09-30,11968.813393592834,Females,Australian Capital Territory,2A
2,1987-12-31,11096.546265125275,Females,Australian Capital Territory,2A
2,1988-03-31,12458.953348368406,Females,Australian Capital Territory,2A
2,1988-06-30,12126.319660663605,Females,Australian Capital Territory,2A
2,1988-09-30,12472.407003849745,Females,Australian Capital Territory,2A
2,1988-12-31,13541.466213136911,Females,Australian Capital Territory,2A
2,1989-03-31,12343.8640678823,Females,Australian Capital Territory,2A
2,1989-06-30,13974.953488975763,Females,Australian Capital Territory,2A
2,1989-09-30,13109.248308077455,Females,Australian Capital Territory,2A
2,1989-12-31,14310.971990972757,Females,Australian Capital Territory,2A
2,1990-03-31,13087.027888417244,Females,Australian Capital Territory,2A
2,1990-06-30,13646.338406443596,Females,Australian Capital Territory,2A
2,1990-09-30,12732.313325464725,Females,Australian Capital Territory,2A
2,1990-12-31,14043.828636348248,Females,Australian Capital Territory,2A
2,1991-03-31,13010.28578171134,Females,Australian Capital Territory,2A
2,1991-06-30,12892.808715701103,Females,Australian Capital Territory,2A
2,1991-09-30,14586.654349535704,Females,Australian Capital Territory,2A
2,1991-12-31,13424.714365124702,Females,Australian Capital Territory,2A
2,1992-03-31,12853.136126458645,Females,Australian Capital Territory,2A
2,1992-06-30,12211.68289746344,Females,Australian Capital Territory,2A
2,1992-09-30,10990.077333152294,Females,Australian Capital Territory,2A
2,1992-12-31,13742.453457206488,Females,Australian Capital Territory,2A
2,1993-03-31,14620.906429179013,Females,Australian Capital Territory,2A
2,1993-06-30,17537.157565802336,Females,Australian Capital Territory,2A
